Ht,Wt,yd40,Vertical,Bench,BroadJump,Cone3,Shuttle,Draftedyes
6.25,202,4.51,34.5,11,119,6.63,3.96,1
5.917,202,4.41,42,14,128,6.96,4.13,1
5.917,231,4.64,31.5,15,112,7.09,4.15,1
6.083,278,4.98,32.5,23,110,7.18,4.49,0
6.083,205,4.56,34.5,15,127,7.08,4.3,0
6.083,194,4.31,38.5,14,128,6.96,4.36,1
6.167,242,4.96,30.5,22,112,7.2,4.34,0
6.25,247,4.6,31.5,16,119,6.86,4.32,0
6.083,194,4.51,37,16,123,6.96,4.13,0
5.917,194,4.54,30.5,14,119,7.34,4.4,0
5.833,184,4.62,35,11,117,7.37,4.58,0
6.167,291,4.9,30.5,34,109,7.74,4.75,0
6.25,288,5.59,21,32,93,8.06,4.95,0
6.167,187,4.54,33.5,12,127,6.85,4.26,1
6.167,207,4.44,32.5,15,126,7,4.53,0
5.917,186,4.44,37.5,10,122,6.94,4.35,0
6.083,229,5,31,18,109,7.87,4.96,0
6.083,198,4.75,35.5,21,126,6.98,4.23,0
6.083,296,4.97,32,40,105,7.2,4.49,1
5.917,193,4.39,39.5,9,136,6.88,4.25,1
6.167,242,4.51,39,24,128,6.95,4.28,1
6.417,259,4.69,35,22,116,7.18,4.36,1
5.583,194,4.6,38.5,20,123,7.25,4.52,0
6.083,231,4.62,31.5,21,115,7.08,4.3,0
6.167,305,5,30,30,105,7.8,4.88,1
6.417,311,5.21,26,36,94,8.25,4.89,0
6.083,199,4.58,33,13,117,7.14,4.32,0
6.083,190,4.62,31.5,7,120,7.13,4.36,0
6.333,308,5.05,32,36,106,7.67,4.7,1
6.5,306,5.47,26,23,105,7.67,4.92,0
5.75,190,4.47,35.5,16,118,7.14,4.34,0
5.917,194,4.48,33,11,112,6.97,4.25,1
5.583,178,4.61,37.5,17,127,7.06,4.1,0
6.333,259,4.88,32,20,114,6.97,4.26,1
6.083,196,4.47,38.5,13,117,6.66,4.07,0
6.167,238,4.58,39.5,20,122,6.95,4.38,1
6.167,215,5.1,30.5,4,115,8.12,4.7,0
5.667,202,4.58,35,22,125,7.21,4.35,0
6.083,215,4.66,34.5,19,112,6.82,4.33,0
5.917,197,4.53,36,11,120,7.09,4.18,1
6.333,294,5.24,34,24,112,7.34,4.45,0
5.667,187,4.43,33.5,19,121,6.88,4,1
5.75,212,4.55,36,22,123,6.97,4.09,1
6.25,284,4.67,38.5,34,121,6.96,4.33,1
5.75,170,4.46,31.5,4,118,7.03,4.26,0
5.917,189,4.5,36.5,14,123,6.98,4.15,1
6.25,211,4.49,37,12,124,7.2,4.43,1
5.917,191,4.37,43.5,26,136,6.8,4.13,1
6.25,303,5.12,25.5,23,107,7.64,4.91,0
6.333,257,4.62,31.5,26,118,7.27,4.25,0
6.333,183,4.46,31,6,126,7.24,4.57,1
6.5,310,5,30.5,34,108,7.7,4.89,1
