"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Sticker taps","Link clicks",Follows
17899854297157751,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Lunch time",10,"03/14/2025 10:07",https://instagram.com/stories/atu_business/3588244280620314526,"IG story",,Lifetime,165,145,2,0,0,148,,,,
17899439325158316,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,18,"03/14/2025 10:05",https://instagram.com/stories/atu_business/3588243058131550370,"IG story",,Lifetime,182,156,3,1,0,163,,,,
18056942242840349,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"02/03/2025 07:16",,"IG story",,Lifetime,207,201,2,0,0,220,1,
17894416197188378,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/13/2025 11:11",,"IG story",,Lifetime,1550,1309,2,0,0,288,,34
18035350988267716,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","we ♥️ our faculty",0,"03/13/2025 10:56",,"IG story",,Lifetime,372,323,4,0,1,254,,
17871809001312039,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/13/2025 07:57",,"IG story",,Lifetime,214,201,0,0,0,243,,1
18023622866437956,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/13/2025 06:46",,"IG story",,Lifetime,209,199,4,0,0,262,1,
17976339356692563,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,7,"03/13/2025 06:45",,"IG story",,Lifetime,214,205,1,0,0,240,,
17876843391274511,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","ROCKS! FBLA",5,"03/12/2025 16:12",,"IG story",,Lifetime,287,241,4,0,0,220,1,5
17994246185621797,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Distinguished Speaker Ms. Arden Johnson! #CollegetoCareerConference",0,"03/12/2025 09:17",https://instagram.com/stories/atu_business/3586769608469694966,"IG story",,Lifetime,194,185,0,0,0,212,,
18103656091499388,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Getting ready for the distinguished speaker! #CollegetoCareerConference",0,"03/12/2025 08:52",https://instagram.com/stories/atu_business/3586756787715463561,"IG story",,Lifetime,192,184,6,0,0,206,,
17901407169109631,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/12/2025 08:25",https://instagram.com/stories/atu_business/3586743225970335886,"IG story",,Lifetime,198,189,2,0,0,219,,
17848014849395924,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Session 5 Inside the Hiring Mind: What Employers Really Want #CollegetoCareerConference",5,"03/12/2025 07:30",https://instagram.com/stories/atu_business/3586715396897622505,"IG story",,Lifetime,199,189,1,0,0,212,,
18049570739267392,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Session 4 Destination Marketing: How Arkansas Promotes Tourism #CollegetoCareerConference",0,"03/12/2025 07:27",https://instagram.com/stories/atu_business/3586714009061195650,"IG story",,Lifetime,202,190,1,0,0,225,,
18081711727628365,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Session 3 Self Branding & Social Media #CollegetoCareerConference",0,"03/12/2025 07:26",https://instagram.com/stories/atu_business/3586713475495241165,"IG story",,Lifetime,203,192,0,0,0,232,,
18486719653036898,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Session 2 Starting Your Own Business #CollegetoCareerConference",0,"03/12/2025 07:25",https://instagram.com/stories/atu_business/3586712888267544882,"IG story",,Lifetime,206,194,0,0,0,242,,
17889658038207788,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Session 1 Stand Out & Get Hired: Secret to a Successful Job Search #CollegetoCareerConference",0,"03/12/2025 07:23",https://instagram.com/stories/atu_business/3586712105157406774,"IG story",,Lifetime,208,196,0,0,0,228,,
18059402477102430,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/12/2025 07:21",https://instagram.com/stories/atu_business/3586711085622873631,"IG story",,Lifetime,211,200,1,0,0,226,,2
18219255397294815,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"03/12/2025 05:10",https://instagram.com/stories/atu_business/3586645033283421140,"IG story",,Lifetime,345,303,0,0,0,242,4,
18002325959740215,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/06/2025 09:26",https://instagram.com/stories/atu_business/3582455650577075049,"IG story",,Lifetime,208,195,4,0,0,246,,3
18053890937171744,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/06/2025 09:24",,"IG story",,Lifetime,203,189,3,0,0,231,3,18
18052048688145745,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","career connection happening NOW in RTH 138! (free pizza hut!)",0,"03/05/2025 10:10",,"IG story",,Lifetime,264,254,2,0,0,295,1,
18069291001863221,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","@arkansastech @atuagriculture_tourism @atucampuslife @atugradcollege",0,"03/05/2025 07:41",,"IG story",,Lifetime,1502,1168,1,0,0,254,2,
18048600059193092,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/02/2025 10:09",,"IG story",,Lifetime,184,178,1,0,0,198,,
