"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps"
18043712696634352,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/07/2025 09:55",,"IG story",,Lifetime,216,175,1,0,,0,176,,
18070175258050385,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,10,"07/04/2025 06:02",,"IG story",,Lifetime,142,125,4,0,,0,133,,
18075080098935992,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/01/2025 11:24",,"IG story",,Lifetime,550,242,0,0,,0,583,,
18113152480446597,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/01/2025 11:24",,"IG story",,Lifetime,718,251,0,0,,0,820,,
17867495502407418,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/01/2025 11:24",,"IG story",,Lifetime,757,252,0,0,,0,895,,
17962957253936576,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/01/2025 11:24",,"IG story",,Lifetime,690,257,0,0,,1,755,,
18120088831484425,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/01/2025 11:24",,"IG story",,Lifetime,,262,0,0,1,0,443,,
18403455040129141,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"06/30/2025 08:58",,"IG story",,Lifetime,195,161,4,0,,0,158,,
17846170623491819,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/29/2025 09:31",https://instagram.com/stories/atu_business/3665777219374057553,"IG story",,Lifetime,315,259,9,0,1,0,289,,
18169482979345324,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/28/2025 08:54",,"IG story",,Lifetime,209,171,3,,1,,188,,
18009978683769549,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Once again, we met so many great people and had a blast. Goodbye DC!",0,"06/25/2025 14:16",https://instagram.com/stories/atu_business/3663021278166208365,"IG story",,Lifetime,310,255,0,0,,0,,,
18024395762703100,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Last meeting was AARP!",0,"06/25/2025 14:04",https://instagram.com/stories/atu_business/3663020169754059101,"IG story",,Lifetime,315,262,0,0,,0,288,,
17961119450971258,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","White House tour!",0,"06/25/2025 08:53",https://instagram.com/stories/atu_business/3662858648632220879,"IG story",,Lifetime,276,204,0,0,,0,254,,
18010355966774036,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","We get to spend a good chunk of our day at The White House!",0,"06/25/2025 05:37",https://instagram.com/stories/atu_business/3662858021751670862,"IG story",,Lifetime,238,173,0,0,,0,202,,
18057052658205392,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Watching Les Miserables at the Kennedy Center!",0,"06/25/2025 04:30",https://instagram.com/stories/atu_business/3662726229841341239,"IG story",,Lifetime,215,168,0,0,,0,186,,
